iter	Passed	Remaining
811	4234	980
812	4238	974
813	4242	969
814	4246	963
815	4251	958
816	4257	953
817	4262	948
818	4267	943
819	4272	937
820	4277	932
821	4281	927
822	4286	921
823	4290	916
824	4295	911
825	4300	905
826	4306	900
827	4311	895
828	4316	890
829	4321	885
830	4325	879
831	4330	874
832	4334	868
833	4339	863
834	4343	858
835	4348	853
836	4352	847
837	4357	842
838	4362	837
839	4366	831
840	4371	826
841	4376	821
842	4381	816
843	4386	810
844	4391	805
845	4396	800
846	4401	795
847	4406	789
848	4411	784
849	4416	779
850	4420	774
851	4425	768
852	4430	763
853	4435	758
854	4440	753
855	4445	747
856	4450	742
857	4455	737
858	4459	732
859	4464	726
860	4469	721
861	4474	716
862	4479	711
863	4484	705
864	4489	700
865	4494	695
866	4499	690
867	4505	685
868	4510	679
869	4515	674
870	4520	669
871	4524	664
872	4529	658
873	4534	653
874	4539	648
875	4544	643
876	4549	638
877	4554	632
878	4559	627
879	4565	622
880	4570	617
881	4575	612
882	4580	606
883	4586	601
884	4591	596
885	4595	591
886	4600	586
887	4604	580
888	4608	575
889	4613	570
890	4618	564
891	4622	559
892	4627	554
893	4632	549
894	4637	544
895	4642	538
896	4646	533
897	4651	528
898	4656	523
899	4661	517
900	4666	512
901	4670	507
902	4675	502
903	4681	497
904	4686	491
905	4691	486
906	4695	481
907	4700	476
908	4704	470
909	4709	465
910	4713	460
911	4718	455
912	4722	450
913	4727	444
914	4732	439
915	4736	434
916	4742	429
917	4748	424
918	4753	418
919	4758	413
920	4765	408
921	4770	403
922	4776	398
923	4781	393
924	4786	388
925	4791	382
926	4796	377
927	4801	372
928	4805	367
929	4809	362
930	4814	356
931	4819	351
932	4823	346
933	4828	341
934	4832	335
935	4837	330
936	4842	325
937	4847	320
938	4851	315
939	4858	310
940	4863	304
941	4869	299
942	4874	294
943	4879	289
944	4883	284
945	4888	279
946	4893	273
947	4898	268
948	4902	263
949	4906	258
950	4911	253
951	4916	247
952	4920	242
953	4925	237
954	4930	232
955	4934	227
956	4939	221
957	4945	216
958	4950	211
959	4954	206
960	4959	201
961	4964	196
962	4968	190
963	4973	185
964	4977	180
965	4982	175
966	4986	170
967	4991	164
968	4995	159
969	4999	154
970	5003	149
971	5008	144
972	5012	139
973	5017	133
974	5021	128
975	5026	123
976	5031	118
977	5036	113
978	5041	108
979	5046	102
980	5051	97
981	5055	92
982	5059	87
983	5063	82
984	5068	77
985	5072	72
986	5077	66
987	5081	61
988	5086	56
989	5090	51
990	5095	46
991	5100	41
992	5105	35
993	5109	30
994	5114	25
995	5119	20
996	5124	15
997	5129	10
998	5135	5
999	5140	0
